words,meanings,score,correct,appear
Godd luck!,がんばって！,0.0,0,0
refer to,～を参照する,0.0,0,0
according to,～によると,0.0,0,0
take place,起こる、行われる,0.0,0,0
be interested in,～に興味がある,0.0,0,0
look for,～を探す,0.0,0,0
look forward to,～を楽しみにする,0.0,0,0
work on,～に取り組む,0.0,0,0
pick up,～を受ける、拾い上げる,0.0,0,0
ask for,～を求める,0.0,0,0
be pleased to be,喜んで～する,0.0,0,0
kind of,種類の、一種の,0.0,0,0
on time,時間通りに,0.0,0,0
in fact,実は、実際は,0.0,0,0
be supposed to,～することになっている,0.0,0,0
sign up for,～に申し込む,0.0,0,0
a variety of,さまざまな,0.0,0,0
find out,知る、わかる,0.0,0,1
no longer,もはや～ない,0.0,0,0
get to,～にたどり着く、～に取り掛かる,0.0,0,1
set up,～を設定する,0.5,1,1
at keast,少なくとも,0.0,0,0
make sure,必ず～する,0.0,0,0
apply for,～に応募する,0.0,0,0
fill out,～に記入する,0.5,1,1
in order to do,～するために,0.0,0,0
up to,最大では,0.0,0,0
as well as,～に加えて,0.0,0,0
in advance,事前に、前もって,0.0,0,0
right now,今すぐ,0.0,0,0
hear from,～から連絡がある,0.0,0,0
stop by,立ち寄る,0.0,0,0
based on,～に基づいて,0.0,0,0
ba responsible for,～に責任がある,0.0,0,0
a number of,いくつかの,0.25,1,2
as soon as possible,出来るだけ早く,0.0,0,0
along with,～と一緒に,0.5,1,1
be concerned about,～を心配している,0.0,0,0
a range of,さまざまな,0.0,0,0
incharge of,～を担当している、～の責任者である,0.0,0,0
right away,ただちに,0.0,0,0
be intended for,～向けの、～を対象とした,0.0,0,0
give a call,電話をする,0.0,0,0
on display,展示中で、陳列中で,0.0,0,0
put on,～を着る,0.0,0,1
take a look,見る、見てみる,0.0,0,0
apply to,～にあてはまる、適用される,0.5,1,1
feel free to do,気軽に～する,0.0,0,0
in person,本人が直接,0.0,0,0
place an order,注文を出す,0.0,0,0
take care of,～を処理する、対応する,0.0,0,0
be willing to do,～してもかまわない、～する意思がある,0.0,0,0
worth doing,～する価値がある,0.0,0,0
a couple of,２，３の,0.0,0,0
as well,も,0.0,0,0
be about to do,まさに～するところだ,0.0,0,0
in the meantime,それまでの間、さしあたって,0.0,0,0
call for,～を呼ぶ、求める、予想する,0.0,0,0
for example,たとえば,0.0,0,0
at this time,今回は、現時点では,0.0,0,0
rather than,～よりむしろ,0.0,0,0
take advance of,～を利用する,0.0,0,0
on behalf of,～を代表して,0.0,0,0
prior to,～の前に,0.0,0,0
remenber to do,忘れずに～する,0.0,0,0
turn off,オフにする,0.0,0,0
turn on,オンにする,0.0,0,0
be based in,～に拠点を置く,0.0,0,0
be close to,～に近い,0.0,0,0
be pleased with,～に満足している,0.0,0,0
go over,～を詳しく検討する,0.0,0,0
look over,～にざっと目を通す,0.0,0,0
out of town,町を離れる、出張中で,0.0,0,0
so far,これまでのところ,0.0,0,0
as of,～付けで、～時点で,0.0,0,0
be likely to do,～しそうだ,0.0,0,0
look to do,～しようとする,0.0,0,0
not until,～まではない,0.0,0,0
be familiar with,～をよく知っている,0.5,1,1
free of charge,無料で,0.0,0,0
go ahead,どうぞ。進んで～する,0.0,0,0
on a X basis,Xごとに、Xベースで,0.0,0,0
plenty of,たくさんの、十分な,0.0,0,0
search for,～を探す,0.0,0,0
at work,職場で、勤務中で,0.0,0,0
be eligible for,～の資格がある,0.0,0,0
for sale,販売用の,0.0,0,0
in line,一列で,0.0,0,1
leave a message,伝言を残す,0.0,0,0
no later than,遅くとも,0.0,0,0
not only X but Y,XだけでなくYも,0.0,0,0
on sale,販売中で、セール中で,0.0,0,0
put in,～を提出する,0.0,0,0
used to do,かつて～だった,0.0,0,0
be committed to,～に尽力している、～に努力している,0.0,0,0
in a row,連続で、一列で,0.0,0,0
look up,調べる,0.0,0,0
take off,～を脱ぐ、離陸する,0.5,1,1
across from,～の真向かいに,0.0,0,0
at all times,常時,0.0,0,0
I'd be happy to.,喜んで,0.0,0,0
Would you like to do ~?,～されますか、～するのはいかがですか,0.0,0,0
make it,うまくいく、何とか間に合う、都合がつく,0.0,0,0
I'm afraid,残念ながら,0.0,0,1
How can I help you?,どのようなご用件でしょうか,0.0,0,0
Would you like me to do ~?,私が～しましょうか。,0.0,0,0
Would you like ~?,～はいかがですか、～は必要でしょうか,0.0,0,0
Would/Do you mind doing ~?,～していただいても構いませんか,0.0,0,0
How about ~?,～はどうですか,0.0,0,0
Can you do me a favor?,お願いがあるのですが,0.0,0,0
I was wondering if you could ~.,～してもらえないかと思っていたんですが,0.0,0,0
That's too bad,それは残念です,0.0,0,0
What about ~?,～はどうですか,0.0,0,0
I see.,わかりました,0.5,1,1
Why don't you ~?,～してはどうですか,0.0,0,0
if you wouldn't mind,もしよろしければ,0.0,0,0
You may/might want to do ~.,～したほうがよいかもしれません,0.0,0,0
Here it is.,これです,0.0,0,0
That's not a problem.,大丈夫です,0.0,0,0
That sounds great.,いいですね,0.0,0,0
That sounds like a good idea.,いい考えですね,0.0,0,0
Whi don't we ~?,～しませんか,0.0,0,0
Would you care to do ~?,～するのはいかがですか,0.0,0,0
That's good to know.,教えてくれてありがとう,0.0,0,0
Will do.,そうします、了解です,0.0,0,0
either way,いずれにせよ,0.0,0,0
I can manage it,自分で何とかできます,0.0,0,0
Why not?,もちろんです,0.0,0,0
Would you rather X or Y?,Xのほうが良いですか、それともYですか,0.0,0,0
you'd better,～するのが賢明だ,0.0,0,0
Better than I expected.,予想以上でした,0.0,0,0
I'd say,～だろうと思う,0.0,0,0
I wish I could.,そうしたいところですが,0.0,0,0
let's see,えっと,0.0,0,0
No idea.,まったくわかりません,0.0,0,0
not at all,まったく～でない、全然かまわない,0.0,0,0
That's a relief,安心しました,0.0,0,0
What if ~?,もし～したらどうなりますか,0.0,0,0
You have reached ~.,こちらは～です,0.0,0,0
count me in,私を数に入れる,0.0,0,0
Do/Would you mind id I ~?,～しても構いませんか,0.0,0,0
Does/Would that work?,それで大丈夫ですか,0.0,0,0
Either is fine.,どちらでも構いません,0.0,0,0
I could use your help.,あなたの助けが必要です,0.0,0,0
it's been a while,久しぶりだ,0.0,0,0
I've got to get going.,行かなければいけません,0.0,0,0
Never mind.,気にしないで,0.0,0,0
no matter what,何があっても,0.0,0,0
No worries.,心配しないで,0.0,0,0
We're still deciding.,まだ決まってません,0.0,0,0
Wouldn't you rather ~?,～したほうがよくないですか,0.0,0,0
That's it.,以上です,0.0,0,0
By all means.,もちろんです,0.0,0,0
It could not be better deserved.,あなた以上にふさわしい人はいません,0.0,0,1
You are welcome.,どういたしまして,0.0,0,0
What's up?,どうしたの,0.0,0,0
artwork,芸術作品,0.0,0,0
board,乗り込む、坂,0.0,0,0
browse,見て回る、ざっと読む,0.0,0,0
button,ボタンを留める,0.0,0,0
ceiling,天井,0.0,0,0
change,お釣り,0.0,0,0
curb,縁石,0.0,0,0
descend,降りる,0.0,0,0
dock,船着き場,0.0,0,0
drawer,引き出し,0.0,0,0
come up with,～を思いつく,0.0,0,0
in that case,その場合,0.0,0,0
lead to,～に繋がる、～に続く,0.0,0,0
on one's way,途中で,0.0,0,0
take a moment,少し時間をとる,0.0,0,0
try on,～を試着する,0.0,0,0
be involved in/with,～にかかわっている,0.0,0,0
be wrong with,～の調子が悪い,0.0,0,0
behind schedule,予定より遅れて,0.0,0,0
by the way,ところで,0.0,0,0
get back to,～に折り返し連絡する,0.0,0,0
in place,用意されている,0.0,0,1
in response to,～に応えて,0.0,0,0
point out,～を指摘する,0.0,0,0
be satisfied with,～に満足している,0.5,1,1
be welcome to do,どうぞ～してください,0.0,0,0
come by,立ち寄る、やってくる,0.0,0,0
for a while,しばらくの間,0.0,0,0
in writing,書面で,0.0,0,0
lean against,～によりかかる,0.0,0,0
look into,調査する,0.0,0,0
take over,～を引き継ぐ,0.0,0,0
within walking distance,徒歩圏内,0.0,0,0
as a result of,～の結果として,0.5,1,1
be delighted to do,～できてとてもうれしい,0.0,0,0
be equipped with,～が備わっている,0.0,0,0
be subject to,～の対象となる,0.0,0,0
carry out,～を実行する,0.0,0,0
hang up,～を掛ける、電話を切る,0.0,0,0
make sense,理に適う、意味が分かる,0.0,0,0
on duty,勤務中で,0.0,0,0
under construction,工事中で,0.0,0,0
X and Y alike,XもYも同様に,0.0,0,1
be dedicated to,～に尽力している、～に特化した,0.0,0,0
in time for,～に間に合って、～に間に合うように,0.0,0,0
in/with regard to,～に関して,0.0,0,0
keep in mind that,～を念頭に置く,0.0,0,0
on board,乗っている、一員である,0.0,0,0
open to the public,一般公開されている,0.0,0,0
put together,～を取りまとめる、組み立てる,0.0,0,0
ahead of schedule,予定より早く,0.0,0,0
an array of,たくさんの、ずらりとならんだ,0.5,1,1
be always,いつものように,0.0,0,0
be aware of,～に気づく,0.0,0,0
be suitable fo,～に適している、～にぴったりだ,0.0,0,0
can afford to do,～する余裕がある,0.0,0,0
day off,休み,0.0,0,0
drop by,立ち寄る,0.0,0,0
get into,入る,0.0,0,0
get to work,出勤する、職場に着く,0.0,0,0
go through,～に目を通す、通る,0.0,0,0
grow up,育つ,0.5,1,1
hand out,～を配る,0.0,0,0
in particular,特に,0.0,0,0
put away,～を片付ける,0.0,0,0
quite a few,かなりの数の,0.5,1,1
related to,～に関連した、～と親戚である,0.0,0,0
take a break,休憩する,0.0,0,0
take part in,～に参加する,0.0,0,0
associated with,～に関連した、付随した,0.0,0,0
be followed by,～が後に着く、～が後に行われる,0.0,0,0
catch a train,電車に乗る,0.0,0,0
different from,～とは違っている,0.0,0,0
get back to,戻る,0.0,0,0
get off,降りる、電話を切る,0.0,0,0
get out,外に出る,0.0,0,0
have in common,共通している,0.0,0,0
in need of,～が必要だ,0.0,0,0
in the process of,～の最中で,0.0,0,0
make room for,～のためにスペースを空ける,0.0,0,0
on the permises,敷地内で,0.0,0,0
out of stock,在庫切れ,0.0,0,0
reach for,～に手を伸ばす,0.0,0,0
side by side,並んで,0.5,1,1
take one's place,代わりを務める,0.0,0,0
take up,取る、始める,0.0,0,0
thank you for your patience,ご辛抱いただきありがとうございます,0.0,0,0
that is why,それだからこそ,0.0,0,0
a while ago,ちょっと前に,0.0,0,0
account for,～の割合を占める、～の原因となる、～を説明する,0.0,0,0
after all,結局は,0.0,0,0
along the way,途中で,0.0,0,0
as follows,以下の通り,0.0,0,0
as for,～に関して言うと,0.0,0,1
as usual,いつものように,0.5,1,1
be eager to do,～することを熱望している,0.0,0,0
be similar to,～に似ている,0.5,1,1
come along,一緒に来る,0.0,0,0
draw up,～を成作する、書き上げる,0.0,0,0
every other,１つおきの,0.0,0,0
figure out,わかる、みつけだす,0.0,0,0
for years,長年,0.0,0,0
get in touch with,～と連絡を取る,0.0,0,1
go on to do,さらに続けて～する,0.0,0,0
in detail,くわしく,0.0,0,0
in terms of,～の点で,0.0,0,0
keep track of,～の記録をつける、～の経過を追う,0.0,0,0
keep up with,～に遅れずについていく、～に追いつく,0.0,0,0
meet a deadline,締め切りに間に合わせる,0.0,0,0
meet the needs,需要を果たす,0.0,0,0
participate in,～に参加する,0.0,0,0
apologize for,～をお詫びする,0.0,0,0
inquire about,～について尋ねる,0.0,0,0
register for,～に登録する,0.0,0,0
focus on,～に集中する,0.0,0,0
arrange for X to do,Xが～する手配をする,0.0,0,0
respond to,～に返事をする,0.0,0,0
result in,結果として～になる,0.0,0,0
specialize in,～を専門とする,0.0,0,0
prepare for,～の準備をする,0.0,0,0
provide X with Y,X に Y を提供する ,0.0,0,0
complain about,～について文句を言う,0.0,0,0
attach X to Y,XをYに添付する,0.0,0,0
compared to/with,～と比べて,0.0,0,0
enroll in,～に入会する,0.0,0,0
subscribe to,～を購読する,0.0,0,0
benefit from,～から連絡がある利益を得る,0.0,0,0
expose X to Y,Xをyにさらす,0.0,0,0
contribute to,～に貢献する,0.0,0,0
reply to,～に返事する,0.0,0,0
attribute X to Y,XはYのおかげだとする,0.0,0,0
break down,故障する,0.0,0,0
compete with,～と競う,0.0,0,0
rely on,～に頼る,0.0,0,0
compensate X for Y,XにYを保障する,0.0,0,0
consist of,～で構成される,0.0,0,0
differ from,～とは異なる,0.0,0,0
qualify for,～の資格がある,0.0,0,0
succeed in,～で成功する,0.0,0,0
agree with,～に同意する,0.0,0,0
attend to,～に対応する,0.0,0,0
attest to,証言する、証明する,0.0,0,0
comply with,～に従う,0.0,0,0
conform to,～に合わせる,0.0,0,1
depend on,～次第だ,0.0,0,0
dispose of,～を処分する,0.0,0,0
prevent X from doing,Xが～するのを妨げる,0.0,0,0
range from X to Y,XからYに及ぶ,0.0,0,0
refrain from,～を控える,0.0,0,0
adhere to,～に忠実に従う,0.0,0,0
cater to,～に応える、～に向けた,0.0,0,0
concentrate on,～に集中する,0.0,0,0
embark on,～に乗り出す,0.0,0,0
engage in,～に携わる,0.0,0,0
interfere with,～の邪魔をする,0.0,0,1
resign from,～を辞める,0.0,0,0
result from,～に起因する,0.0,0,0
tailor X to Y,XをYに合わせる,0.0,0,0
translate X into Y,XをYに翻訳する,0.0,0,0
impose X on Y,XをYに課す,0.0,0,0
insist on,～を主張する,0.0,0,0
owe X to Y,XはYのおかげである,0.0,0,0
process X into Y,Xを加工してYに変える,0.0,0,1
substitute X for Y,XをYの代わりに使う,0.0,0,0
transform X into Y,XをYに一変させる,0.0,0,0
erase,消す,0.0,0,0
examine,詳しく調べる,0.0,0,0
exit,出る,0.0,0,0
fireplace,暖炉,0.0,0,0
kneel,ひざをつく,0.0,0,0
ladder,はしご,0.5,1,1
lamppost,街路灯,0.0,0,0
laptop,ノートPC,0.0,0,0
load,積み込む,0.0,0,0
microwave oven,電子レンジ,0.0,0,0
mow,刈る,0.5,1,1
take a tour,見学する,0.0,0,0
take effect,有効になる,0.0,0,1
take on,引き受ける、～と対戦する,0.0,0,0
thanks to,～のおかげで,0.0,0,0
a bit of,少しの,0.5,1,1
a great deal of,たくさんの,0.0,0,0
